Test ID,No Source Req'd,Category,Metric,Test Scenario,Acceptance Criteria,Steps to Execute,Expected Result,Pass/Fail,Notes,Tester,Date
SAE-SEC-01,✓,Security,Data Protection,AWS credentials are stored securely and not exposed in UI or logs,Credentials are never displayed in plain text; secret key masked; no credential leakage in browser console or logs,"1. Configure AWS credentials in SAELAR; 2. Inspect page source and browser console; 3. Check that only masked/placeholder values visible",No credential exposure in any client-side context,,,,
SAE-SEC-02,✓,Security,Session Handling,Application enforces secure session behavior,Session does not persist sensitive data in URL parameters; logout clears credentials from session,"1. Log in with credentials; 2. Check URL for any credential strings; 3. Log out and verify session cleared",No credentials in URL; clean logout,,,,
SAE-SEC-03,✓,Security,Communication,Application supports HTTPS when configured,When SSL certs present, app serves over HTTPS; no mixed content warnings,"1. Configure SSL; 2. Access via https://; 3. Verify padlock and no mixed-content errors",HTTPS available; no security warnings,,,,
SAE-SEC-04,✓,Security,Air-Gapped Mode,Air-gapped mode operates without external network,When SAELAR_AIRGAPPED=true and Ollama running, all features work with no outbound AWS/internet calls,"1. Set SAELAR_AIRGAPPED=true; 2. Disconnect or block outbound; 3. Run assessment and AI features",Full functionality without network,,,,
SAE-REL-01,✓,Relevance,NIST Coverage,NIST 800-53 Rev 5 controls are accurately represented,All 13 cloud-relevant control families assessed; control IDs and descriptions align with NIST Rev 5,"1. Run NIST Assessment; 2. Review control list; 3. Cross-reference sample controls to NIST 800-53 Rev 5",Control alignment verified,,,,
SAE-REL-02,✓,Relevance,AWS Service Coverage,Assessment queries correct AWS services,Findings reference actual AWS resources; IAM/S3/EC2/CloudTrail/Config etc. queried appropriately,"1. Run cloud assessment; 2. Verify findings map to real AWS API responses; 3. Spot-check IAM/EC2/S3 findings",Accurate AWS-based findings,,,,
SAE-REL-03,✓,Relevance,Security Hub Integration,Security Hub findings map to NIST controls,Security Hub findings imported and correctly mapped to NIST 800-53 control families,"1. Enable Security Hub; 2. Run assessment; 3. View Security Hub findings tab; 4. Verify NIST mapping",Findings properly mapped,,,,
SAE-REL-04,✓,Relevance,Risk Scoring,Risk scores follow NIST SP 800-30 methodology,Risk matrix (Likelihood x Impact) produces severity levels; CRITICAL/HIGH/MEDIUM/LOW thresholds correct,"1. Run assessment with mix of findings; 2. Review risk scores; 3. Verify escalation rules (e.g. 2+ CRITICAL = Overall CRITICAL)",Risk scoring matches methodology,,,,
SAE-REL-05,✓,Relevance,BOD 22-01,CISA KEV findings are identified,BOD 22-01 tab shows KEV-listed vulnerabilities when present; remediation timeline guidance provided,"1. Import or simulate KEV findings; 2. Check BOD 22-01 tab; 3. Verify KEV identification",KEV items correctly flagged,,,,
SAE-USE-01,✓,Ease of Use,Navigation,User can navigate between all major tabs within 3 clicks,NIST Assessment/AWS Console/Chad/Risk Calculator/SSP Generator/BOD 22-01/Threat Modeling/Artifacts accessible,"1. Start from home; 2. Navigate to each tab; 3. Count clicks required",All tabs reachable in ≤3 clicks,,,,
SAE-USE-02,✓,Ease of Use,Credential Setup,AWS credential configuration is intuitive,Credential screen has clear fields; validation provides actionable error messages; successful config shows confirmation,"1. Open credential config; 2. Enter invalid then valid creds; 3. Verify validation feedback",Clear UX; helpful error messages,,,,
SAE-USE-03,✓,Ease of Use,Dashboard Readability,Dashboard metrics and charts are legible and meaningful,Metrics show pass/fail counts; charts render correctly; color coding is consistent,"1. Run assessment; 2. View dashboard; 3. Check charts and metrics",Readable and meaningful summary,,,,
SAE-USE-04,✓,Ease of Use,Document Generation,SSP and POA&M generation requires minimal user input,User selects options and clicks Generate; document downloads without excessive form filling,"1. Run assessment; 2. Open SSP Generator; 3. Generate SSP and POA&M with minimal input",Documents generated successfully,,,,
SAE-USE-05,✓,Ease of Use,Export Options,Results exportable in usable formats,CSV/Excel/PDF exports available where applicable; exported data is complete and structured,"1. Generate assessment; 2. Export in each format; 3. Open and verify content",Exports complete and usable,,,,
SAE-FUN-01,✓,Functionality,Cloud Assessment,NIST cloud assessment runs to completion,Full assessment completes without fatal errors; results displayed; all control families processed,"1. Configure valid AWS credentials; 2. Run NIST Assessment; 3. Wait for completion",Assessment completes successfully,,,,
SAE-FUN-02,✓,Functionality,AI Chad,Chad AI assistant responds to security questions,Chad provides relevant answers; can generate charts and remediation guidance; graceful fallback if Bedrock unavailable,"1. Open Chad tab; 2. Ask security question; 3. Request chart or remediation",Relevant AI response or fallback,,,,
SAE-FUN-03,✓,Functionality,S3 Document Upload,Documents can be uploaded to S3 when configured,S3 bucket selectable; upload succeeds; documents listable and downloadable,"1. Configure S3 bucket; 2. Upload SSP/POA&M; 3. List and download",S3 integration works,,,,
SAE-FUN-04,✓,Functionality,Threat Modeling,Threat modeling module displays control-to-threat mapping,MITRE ATT&CK mapping visible; asset-threat relationships shown; exportable,"1. Run assessment; 2. Open Threat Modeling; 3. Review mappings",Threat modeling functional,,,,
SAE-FUN-05,✓,Functionality,Artifacts Management,Artifacts/evidence can be managed,Upload download and organize assessment artifacts,"1. Open Artifacts tab; 2. Upload file; 3. List and download",Artifact management works,,,,
SAE-PERF-01,✓,Performance,Assessment Speed,Cloud assessment completes within reasonable time,Full NIST assessment completes in under 10 minutes for typical account,"1. Run full assessment; 2. Record start and end time",Completes in <10 min (or documented SLA),,,,
SAE-PERF-02,✓,Performance,Page Load,Initial page load responsive,Application loads within 15 seconds on standard connection,"1. Clear cache; 2. Load app; 3. Measure time to interactive",Load time acceptable,,,,
SAE-COMP-01,✓,Compliance,Audit Trail,Assessment history and actions are traceable,Assessment runs and key actions produce auditable records where applicable,"1. Run assessment; 2. Review any logs or history; 3. Verify traceability",Audit trail present,,,,
SAE-COMP-02,✓,Compliance,FedRAMP Alignment,Output aligns with FedRAMP documentation expectations,SSP and POA&M structure suitable for FedRAMP packages,"1. Generate SSP and POA&M; 2. Review against FedRAMP template expectations",Output FedRAMP-suitable,,,,
