Test ID,No Source Req'd,Category,Metric,Test Scenario,Acceptance Criteria,Steps to Execute,Expected Result,Pass/Fail,Notes,Tester,Date
SOP-SEC-01,✓,Security,Data Protection,Assessment data and credentials handled securely,No PII or raw evidence sent to AI; AWS credentials not exposed in UI; file-based storage has appropriate permissions,"1. Run assessment; 2. Use AI features; 3. Inspect network requests for data leakage; 4. Check file permissions",No credential or PII exposure,,,,
SOP-SEC-02,✓,Security,Session Handling,Session state and persistence secure,Cross-tab data sharing via .sopra_results.json does not expose secrets; Back to Dashboard works without leaking state,"1. Open multiple tabs (assessment/remediation/ISSO); 2. Verify data sharing; 3. Check for sensitive data in URLs",Secure state handling,,,,
SOP-SEC-03,✓,Security,AI Transparency,AI-generated content clearly labeled,All AI output tagged with visible badge; human can distinguish AI vs manual content,"1. Use POA&M AI generate; 2. Use Risk Acceptance AI draft; 3. Use evidence analysis; 4. Verify badges present",AI content clearly labeled,,,,
SOP-SEC-04,✓,Security,Fallback Behavior,Application functions without AI when Bedrock unavailable,Graceful fallback to templates; no crashes; user informed when AI unavailable,"1. Disable Bedrock or use invalid creds; 2. Trigger each AI feature; 3. Verify template fallback",No crash; fallback works,,,,
SOP-REL-01,✓,Relevance,NIST/CIS Alignment,200 controls align to NIST 800-53 Rev 5 and CIS v8,Control definitions and mappings accurate; bidirectional crosswalk correct,"1. Open Control Crosswalk; 2. Review NIST and CIS mappings; 3. Spot-check against framework docs",Accurate control alignment,,,,
SOP-REL-02,✓,Relevance,FIPS 199 Baselines,FIPS 199 baselines filter controls correctly,Low (75) Moderate (155) High (200) baselines applied; filtering changes control set as expected,"1. Select Low baseline; 2. Count controls; 3. Switch to Moderate and High; 4. Verify counts",Baseline filtering correct,,,,
SOP-REL-03,✓,Relevance,ISSO Workflow Relevance,ISSO Toolkit tools match real ATO workflows,POA&M Risk Acceptance Evidence Inheritance Scheduling Approvals STIG Import Incident Correlation align with ISSO tasks,"1. Open each ISSO tool; 2. Verify workflow fit; 3. Confirm output format matches ATO needs",Tools match ISSO workflows,,,,
SOP-REL-04,✓,Relevance,Vulnerability Management,Automated Vulnerability Management provides actionable remediation,Attack chains remediation plans validation scripts impact analysis and ticket generation produce useful output,"1. Run assessment with failures; 2. Open Vulnerability Management; 3. Use each sub-tool",Actionable remediation output,,,,
SOP-REL-05,✓,Relevance,SSP Generation,SSP narratives use formal RMF language,Generated SSP control narratives are auditor-ready and use appropriate terminology,"1. Run assessment; 2. Generate SSP with AI narratives; 3. Review sample narratives",RMF-appropriate language,,,,
SOP-USE-01,✓,Ease of Use,Navigation,User can navigate between all main pages within 3 clicks,Dashboard Assessment Reports Vulnerability Management SSP Generator AI Assistant Settings and ISSO Toolkit accessible,"1. Start from Dashboard; 2. Navigate to each page; 3. Count clicks",All pages reachable in ≤3 clicks,,,,
SOP-USE-02,✓,Ease of Use,ISSO Toolkit Access,ISSO Toolkit opens in clear hub layout,Toolkit hub displays; 12 tools visible; navigation between tools intuitive,"1. Click ISSO Toolkit; 2. Review hub; 3. Navigate to 3 different tools",Clear hub layout; easy tool access,,,,
SOP-USE-03,✓,Ease of Use,Assessment Workflow,Assessment import and manual entry straightforward,CSV import works; demo data loads; manual assessment UI clear,"1. Import CSV; 2. Load demo data; 3. Manually assess a few controls",Assessment workflow intuitive,,,,
SOP-USE-04,✓,Ease of Use,AI Button Clarity,AI features triggered with single clear action,Each AI feature has obvious button; one click invokes; loading state shown,"1. Open POA&M; 2. Click AI Generate; 3. Repeat for Risk Acceptance Evidence etc",Single-click AI invocation,,,,
SOP-USE-05,✓,Ease of Use,Reports and Export,Reports and exports usable,Reports page generates; exports (CSV/JSON) complete; format suitable for downstream use,"1. Run assessment; 2. Open Reports; 3. Export in available formats",Exports complete and usable,,,,
SOP-FUN-01,✓,Functionality,Assessment,Full 200-control assessment runs to completion,Assessment completes; results persist; findings display correctly by category,"1. Run full assessment (CSV or demo); 2. Verify completion; 3. Check Dashboard and Reports",Assessment completes successfully,,,,
